ano,capital,uf,populacao,codigo_funcao,funcao,empenhado,pago,diferenca_empenhado_pago,taxa_execucao,empenhado_per_capita,pago_per_capita
2020,Maceió,AL,1018948,01,01 - Legislativa,63453817.04,63453817.04,0.0,1.0,62.273852090587546,62.273852090587546
2020,Belém,PA,1492745,01,01 - Legislativa,90396916.57,90393734.49,3182.079999998212,0.9999647987993314,60.55750752472793,60.555375827753565
2020,Macapá,AP,503327,01,01 - Legislativa,27782126.11,27777470.24,4655.870000001043,0.9998324149137626,55.19697157116546,55.18772138192467
2020,Palmas,TO,299127,01,01 - Legislativa,43420183.55,43324103.26,96080.2899999991,0.9977871975163496,145.15635014559032,144.8351478134705
2020,Recife,PE,1645727,01,01 - Legislativa,152296816.07,151908873.94,387942.12999999523,0.9974527233069556,92.54075315650773,92.30502625283538
2020,Natal,RN,884122,01,01 - Legislativa,78728460.93,78510425.22,218035.71000000834,0.9972305350895418,89.04705564390436,88.80044294791895
2020,Salvador,BA,2872347,01,01 - Legislativa,193574530.65,192721986.26,852544.3900000155,0.9955957822181603,67.39246012059128,67.09564904936624
2020,Porto Velho,RO,529544,01,01 - Legislativa,35085703.39,34803363.79,282339.6000000015,0.9919528590645137,66.25644590440076,65.72327094632362
2020,Boa Vista,RR,399213,01,01 - Legislativa,35254837.43,34950776.29,304061.1400000006,0.9913753356371667,88.31084516285792,87.54919376373013
2020,Teresina,PI,864845,01,01 - Legislativa,79348453.98,78661278.23,687175.75,0.991339771406596,91.74875726864352,90.95419205753633
2020,Cuiabá,MT,612547,01,01 - Legislativa,55556996.56,55039762.54,517234.0200000033,0.9906900291227694,90.69834079670622,89.85394188527574
2020,Fortaleza,CE,2669342,01,01 - Legislativa,172774407.22,169834432.57,2939974.650000006,0.9829837375957168,64.72546688284979,63.62408135413146
2020,Goiânia,GO,1516113,01,01 - Legislativa,119836104.72,117293889.79,2542214.9299999923,0.9787859014948797,79.04167085171092,77.36487306025343
2020,Manaus,AM,2182763,01,01 - Legislativa,162148201.47,158222029.79,3926171.680000007,0.9757865234124943,74.2857568457959,72.48704041162507
2020,Florianópolis,SC,500973,01,01 - Legislativa,48515450.08,47318204.45,1197245.6299999952,0.9753223843533186,96.84244476249219,94.45260413235843
2020,Rio Branco,AC,407319,01,01 - Legislativa,29014059.54,28264216.8,749842.7399999984,0.974155883323868,71.23178525921944,69.39086268993098
2020,Porto Alegre,RS,1483771,01,01 - Legislativa,107181363.5,103760454.95,3420908.549999997,0.9680829909389985,72.23578537388856,69.93023515758159
2020,São Paulo,SP,12252023,01,01 - Legislativa,727548554.11,700375024.42,27173529.690000057,0.9626505618951562,59.38191220421314,57.1640311497946
2020,Vitória,ES,362097,01,01 - Legislativa,28110982.38,26992173.39,1118808.9899999984,0.9602002884539534,77.63384501942849,74.54404038144476
2020,Aracaju,SE,657013,01,01 - Legislativa,55657017.67,53161537.18,2495480.490000002,0.9551632373693443,84.71220153939116,80.9139806670492
2020,Campo Grande,MS,895982,01,01 - Legislativa,80363674.49,75295991.87,5067682.61999999,0.936940630799173,89.6934028697005,84.03739346326154
2020,Rio de Janeiro,RJ,6718903,01,01 - Legislativa,882140476.95,825694841.31,56445635.640000105,0.9360128719689172,131.29233700054905,122.89131742339485
2020,Curitiba,PR,1933105,01,01 - Legislativa,110283735.51,101811417.86,8472317.650000006,0.923177088526968,57.05004927823372,52.66729839299986
2020,Belo Horizonte,MG,2512070,01,01 - Legislativa,195278433.36,173113640.39,22164792.97000003,0.8864964625707604,77.73606362880015,68.91274542110689
2020,Goiânia,GO,1516113,02,02 - Judiciária,18898083.35,18898083.35,0.0,1.0,12.464825082299276,12.464825082299276
2020,João Pessoa,PB,809015,02,02 - Judiciária,82137.8,82137.8,0.0,1.0,0.10152815460776377,0.10152815460776377
2020,Salvador,BA,2872347,02,02 - Judiciária,47760023.77,47760023.77,0.0,1.0,16.627525772478048,16.627525772478048
2020,Porto Alegre,RS,1483771,02,02 - Judiciária,54591044.17,53783411.63,807632.5399999991,0.9852057685966772,36.79209539073078,36.24778461770718
2020,Fortaleza,CE,2669342,02,02 - Judiciária,40397662.08,39398890.73,998771.3500000015,0.975276506149734,15.133940154539957,14.759776278198895
2020,Campo Grande,MS,895982,02,02 - Judiciária,26152161.0,25465396.3,686764.6999999993,0.9737396576902383,29.188266058916362,28.42177220078082
2020,São Paulo,SP,12252023,02,02 - Judiciária,213398102.05,206671140.41,6726961.6400000155,0.9684769378200755,17.41737687319066,16.868327819005888
2020,Florianópolis,SC,500973,02,02 - Judiciária,44831338.02,40965051.73,3866286.2900000066,0.9137592929241775,89.48853135797738,81.77097713848849
2020,Rio de Janeiro,RJ,6718903,02,02 - Judiciária,163656315.36,140678082.02,22978233.340000004,0.859594582161684,24.35759458947391,20.937656343602523
2020,Fortaleza,CE,2669342,03,03 - Essencial à Justiça,149740.73,149740.73,0.0,1.0,0.05609649494144999,0.05609649494144999
2020,Rio Branco,AC,407319,03,03 - Essencial à Justiça,18822895.07,18818545.07,4350.0,0.9997688984620153,46.211679469899515,46.20099987970117
2020,Manaus,AM,2182763,03,03 - Essencial à Justiça,31085219.4,30977327.31,107892.08999999985,0.9965291514075657,14.241225181112195,14.191796044737792
2020,Belém,PA,1492745,03,03 - Essencial à Justiça,15559158.26,15502252.92,56905.33999999985,0.9963426466233527,10.423185647917093,10.385064374692261
2020,Vitória,ES,362097,03,03 - Essencial à Justiça,13657621.84,13583877.15,73744.68999999948,0.994600473577031,37.71813033524166,37.51447029387153
2020,Recife,PE,1645727,03,03 - Essencial à Justiça,47799714.77,47401082.07,398632.700000003,0.9916603540017316,29.04474118125303,28.802518321690048
2020,Curitiba,PR,1933105,03,03 - Essencial à Justiça,44826147.93,44113620.19,712527.7400000021,0.9841046404185192,23.18867724722661,22.82008488416304
2020,Palmas,TO,299127,03,03 - Essencial à Justiça,11615271.6,11407212.58,208059.01999999955,0.9820874597542774,38.83056895566097,38.13501482647838
2020,Natal,RN,884122,03,03 - Essencial à Justiça,46165584.88,44156560.59,2009024.289999999,0.9564822086577668,52.21630598492064,49.94396767640665
