ano,capital,uf,populacao,codigo_funcao,funcao,empenhado,pago,diferenca_empenhado_pago,taxa_execucao,empenhado_per_capita,pago_per_capita,ranking_pago_per_capita
2020,Maceió,AL,1018948,04,04 - Administração,383404640.39,380810720.2,2593920.1899999976,0.9932345101839105,376.27498203048634,373.7292974715098,9.0
2020,Maceió,AL,1018948,08,08 - Assistência Social,57088186.75,55575167.24,1513019.509999998,0.9734968021207996,56.02659483113957,54.54171090183209,18.0
2020,Maceió,AL,1018948,10,10 - Saúde,792065782.48,781472702.46,10593080.01999998,0.9866260097907115,777.33680470446,766.9407098890229,15.0
2020,Maceió,AL,1018948,12,12 - Educação,357868315.31,319093839.56,38774475.75,0.8916515542416433,351.21352150453214,313.1600823201969,24.0
2020,Maceió,AL,1018948,15,15 - Urbanismo,186287833.33,166814558.99,19473274.340000004,0.8954667409465007,182.82369005091527,163.71253389770627,23.0
2021,Maceió,AL,1025360,04,04 - Administração,370334981.08,362577014.07,7757967.00999999,0.9790514874199148,361.1755686588125,353.60947771514395,10.0
2021,Maceió,AL,1025360,08,08 - Assistência Social,29452765.66,24223877.29,5228888.370000001,0.822465284572532,28.724316981352892,23.62475354022002,24.0
2021,Maceió,AL,1025360,10,10 - Saúde,774134174.08,755985079.24,18149094.840000033,0.9765556211730753,754.9876863540611,737.287469025513,18.0
2021,Maceió,AL,1025360,12,12 - Educação,464266926.96,384922142.66,79344784.29999995,0.8290966259010819,452.7843166887727,375.4019492275884,24.0
2021,Maceió,AL,1025360,15,15 - Urbanismo,167029033.13,126522380.35,40506652.78,0.7574873540190263,162.8979413376765,123.39313055902316,22.0
2022,Maceió,AL,1031597,04,04 - Administração,439351621.08,435174884.37,4176736.7099999785,0.9904934077636203,425.89462850318483,421.8458219343406,10.0
2022,Maceió,AL,1031597,08,08 - Assistência Social,55819058.26,48612380.35,7206677.909999996,0.870892162378807,54.10936466468979,47.1234215977751,20.0
2022,Maceió,AL,1031597,10,10 - Saúde,872967088.35,858715266.4,14251821.950000048,0.9836742734746879,846.228797049623,832.4134971311471,18.0
2022,Maceió,AL,1031597,12,12 - Educação,768448799.82,724440479.18,44008320.640000105,0.9427309657451368,744.9118210114997,702.2514404171396,16.0
2022,Maceió,AL,1031597,15,15 - Urbanismo,239645171.46,188450292.54,51194878.92000002,0.7863721659480832,232.3050294446378,182.67820916501307,21.0
2023,Maceió,AL,1031597,04,04 - Administração,585556638.54,573890585.36,11666053.179999948,0.9800769858760588,567.6215019431037,556.3127707428386,8.0
2023,Maceió,AL,1031597,08,08 - Assistência Social,61645724.94,55056571.69,6589153.25,0.8931125677179845,59.75756515383429,53.370232455115705,23.0
2023,Maceió,AL,1031597,10,10 - Saúde,1302781725.57,1274498167.54,28283558.02999997,0.9782898719909314,1262.8785519636058,1235.461296940569,9.0
2023,Maceió,AL,1031597,12,12 - Educação,648604839.79,612559556.1,36045283.68999994,0.9444264342805854,628.7385866670802,593.7973415006054,24.0
2023,Maceió,AL,1031597,15,15 - Urbanismo,489845875.38,385893300.02,103952575.36000001,0.7877851369487221,474.8422837406468,374.0736935256694,19.0
2024,Maceió,AL,960667,04,04 - Administração,729673457.9,713957195.9,15716262.0,0.9784612392984234,759.548790475784,743.1890508365542,6.0
2024,Maceió,AL,960667,08,08 - Assistência Social,59596743.88,53487669.45,6109074.43,0.8974931509295068,62.036838862998316,55.67763798485844,23.0
2024,Maceió,AL,960667,10,10 - Saúde,1297135226.5,1262955548.42,34179678.07999992,0.9736498729032089,1350.244389054688,1314.665277791368,13.0
2024,Maceió,AL,960667,12,12 - Educação,803988514.26,687560500.43,116428013.83000004,0.8551869687626549,836.9065599838445,715.711584170165,25.0
2024,Maceió,AL,960667,15,15 - Urbanismo,768891837.05,621941177.29,146950659.76,0.8088799325483749,800.372904502809,647.4055810077789,12.0
